Account Name,Type,Industry,Annual Revenue,Rating,Phone,Website,Billing Street,Billing City,Billing State/Province,Billing Country,Billing Zip/Postal Code,Contact First Name,Contact Last Name,Created Date,Record Source,Ingest Timestamp,account_bkey,customer_id
Carlson Ltd,Customer,Energy,14650540,Warm,228.413.8153x09412,http://rivera.com/,3466 Anthony Divide,Ericfort,DE,Malta,68474,Devin,Thompson,2023-08-23T04:38:55,salesforce_accounts,2025-10-12T04:56:38.677936,ae4349f6-91e7-4638-a446-c11eb0aaba04,ae4349f6-91e7-4638-a446-c11eb0aaba04
Randolph-Alvarez,Customer,Education,45721400,Warm,001-569-988-1814,http://www.rich.com/,482 Roberts Stream,New Lisa,RI,Mauritania,76909,Morgan,Davis,2021-03-11T23:58:59,salesforce_accounts,2025-10-12T04:56:38.677936,14beb3f9-6d61-4b08-90bc-26e4df1f0cc4,14beb3f9-6d61-4b08-90bc-26e4df1f0cc4
Wilson-Gates,Vendor,Energy,27846162,Hot,5653277442,http://williams.com/,9306 John Glens Suite 401,New Nicholas,ID,Guernsey,16232,Jordan,Williams,2021-10-11T15:02:22,salesforce_accounts,2025-10-12T04:56:38.677936,b4357d0e-5dbb-4f13-8592-9be2bed0becd,b4357d0e-5dbb-4f13-8592-9be2bed0becd
Lane and Sons,Partner,Finance,2492825,Cold,4324638417,http://tran.com/,0427 Haley Port Apt. 799,North Tara,WA,Chad,91783,Devin,Jackson,2020-02-14T23:49:04,salesforce_accounts,2025-10-12T04:56:38.677936,9fbe07c7-1c2f-4eb1-85d8-62643254ae51,9fbe07c7-1c2f-4eb1-85d8-62643254ae51
"Lewis, Novak and Nichols",Customer,Finance,4332978,Hot,190.107.5537x32248,http://www.campbell.info/,0294 Christopher Locks,West Dennisport,SC,British Indian Ocean Territory (Chagos Archipelago),6109,Alex,Davis,2022-06-13T07:04:24,salesforce_accounts,2025-10-12T04:56:38.677936,92409853-2922-4b58-95ce-c5bf7e21208c,92409853-2922-4b58-95ce-c5bf7e21208c
Brown-Mcmahon,Prospect,Energy,31059798,Hot,209-341-9620x2127,https://conway-jennings.com/,529 James Estates,North Douglasfurt,MI,Montserrat,33521,Taylor,Thompson,2023-01-13T08:39:58,salesforce_accounts,2025-10-12T04:56:38.677936,61246067-b171-4a7b-a0f1-a611f441156e,61246067-b171-4a7b-a0f1-a611f441156e
"Schneider, Norris and Welch",Customer,Education,6652941,Warm,088-917-4023,https://conley-gregory.com/,91611 John Vista,East Erica,CO,Maldives,61274,Jamie,Davis,2023-12-02T12:10:52,salesforce_accounts,2025-10-12T04:56:38.677936,7a421d81-9bc0-4479-bc82-386322711c0b,7a421d81-9bc0-4479-bc82-386322711c0b
Nguyen Inc,Customer,Energy,38170243,Warm,001-081-012-3354x31880,http://fry-watts.com/,1617 Nicholas Plain Apt. 524,Stevenstad,RI,Saint Lucia,81298,Riley,Garcia,2021-06-14T13:06:04,salesforce_accounts,2025-10-12T04:56:38.677936,2ea4cb64-385f-42a1-b75e-eeb1a6133e83,2ea4cb64-385f-42a1-b75e-eeb1a6133e83
Lyons Ltd,Vendor,Education,43037644,Warm,7028907434,https://www.gay.com/,0204 Knapp Grove Apt. 907,Brianfurt,MI,Kuwait,89690,Rowan,Martinez,2020-05-22T11:53:23,salesforce_accounts,2025-10-12T04:56:38.677936,93b39f13-4012-4d8d-9c04-12205dd66ad9,93b39f13-4012-4d8d-9c04-12205dd66ad9
Diaz Ltd,Vendor,Education,44492967,Warm,705.729.0104x561,http://reyes.com/,7581 Manuel Track,Port Anthonyton,MO,Saint Barthelemy,23057,Harper,Jones,2021-06-08T13:39:39,salesforce_accounts,2025-10-12T04:56:38.677936,bbe066ff-4d3b-4df6-b8e0-2d9563d38534,bbe066ff-4d3b-4df6-b8e0-2d9563d38534
Wu LLC,Partner,Retail,36786070,Cold,301.983.2392x31848,http://farley.com/,1732 Bell Spurs Suite 131,Grayfurt,OR,Czech Republic,67962,Harper,White,2023-07-31T08:00:32,salesforce_accounts,2025-10-12T04:56:38.677936,d400a42e-b4e2-4425-bbe5-24e0a9705a07,d400a42e-b4e2-4425-bbe5-24e0a9705a07
House-Walker,Prospect,Education,11056086,Cold,801.426.9366x3551,https://green.biz/,89541 Roger Plaza,Michaelview,WV,Canada,50425,Avery,Smith,2022-06-26T09:56:03,salesforce_accounts,2025-10-12T04:56:38.677936,581391b9-b2f7-4555-ad85-6d14ebec2a23,581391b9-b2f7-4555-ad85-6d14ebec2a23
Rodriguez-Thompson,Vendor,Technology,23789643,Cold,+1-511-905-8565x68200,https://boyer-prince.biz/,640 Taylor Turnpike,Conniechester,AZ,Ukraine,2733,Parker,Rodriguez,2024-04-02T19:02:18,salesforce_accounts,2025-10-12T04:56:38.677936,3e04349b-5d2a-44e3-8cc4-07ea10c3ca9c,3e04349b-5d2a-44e3-8cc4-07ea10c3ca9c
Mccoy Ltd,Customer,Education,36958065,Warm,005.755.6104x9756,http://williams.com/,39420 Jeffrey Station Suite 419,Youngview,NC,United States of America,25563,Jordan,Jones,2021-03-12T02:16:01,salesforce_accounts,2025-10-12T04:56:38.677936,31cac2ba-0af1-49bf-afd3-fe4c6e8ca23d,31cac2ba-0af1-49bf-afd3-fe4c6e8ca23d
"Vaughn, Walter and Ross",Partner,Education,22989029,Warm,001-706-366-6194x512,http://www.howard-gonzalez.biz/,237 Stephanie Divide,Pachecofort,GA,Timor-Leste,53837,Riley,Jones,2022-01-03T12:34:43,salesforce_accounts,2025-10-12T04:56:38.677936,f30f27a0-2ebd-4cb9-9aa1-45919bdcbe70,f30f27a0-2ebd-4cb9-9aa1-45919bdcbe70
Herrera LLC,Customer,Education,2440369,Warm,+1-028-762-4303x1717,http://www.rodriguez.net/,971 Fuller Rue,New Karenville,OH,Gabon,79337,Parker,Jackson,2025-03-21T19:35:43,salesforce_accounts,2025-10-12T04:56:38.677936,777f36a1-2d34-4842-8cf7-a1c89d7bf38e,777f36a1-2d34-4842-8cf7-a1c89d7bf38e
Sanchez PLC,Customer,Finance,42181557,Cold,396.028.4631,http://www.banks.com/,259 Kara Port Suite 323,Andrewborough,MO,Georgia,40881,Alex,Rodriguez,2024-07-12T22:22:34,salesforce_accounts,2025-10-12T04:56:38.677936,83eede07-fad6-4b9a-9b50-86dfc8b65ae9,83eede07-fad6-4b9a-9b50-86dfc8b65ae9
Sutton Ltd,Vendor,Technology,18494276,Warm,(983)551-1971x3415,https://www.hamilton.net/,6060 Stephanie Corner Apt. 935,South Paul,IN,French Polynesia,65438,Parker,Miller,2021-11-26T18:43:28,salesforce_accounts,2025-10-12T04:56:38.677936,0041aba8-2ba5-4ce0-9bfb-78831e3b43b8,0041aba8-2ba5-4ce0-9bfb-78831e3b43b8
"Martin, Perry and Torres",Partner,Technology,48726615,Hot,(714)870-8108,https://tran.org/,6533 Mary Manor Apt. 408,North Shannon,HI,Ireland,16275,Quinn,Brown,2025-07-29T06:02:15,salesforce_accounts,2025-10-12T04:56:38.677936,97120185-9bc8-49f7-8a33-3145a668857c,97120185-9bc8-49f7-8a33-3145a668857c
Jensen-Meyers,Prospect,Energy,26455176,Hot,791-368-5861,http://www.wilson.com/,26434 Schmidt Row,Port Heather,NJ,Gibraltar,27071,Skyler,Smith,2022-01-06T00:38:24,salesforce_accounts,2025-10-12T04:56:38.677936,ef34e46b-6166-4083-8be9-ddaf3a6db89a,ef34e46b-6166-4083-8be9-ddaf3a6db89a
Greene-Thompson,Prospect,Retail,38733146,Warm,001-996-830-6889,http://www.martin-lee.info/,577 Jimenez Port Suite 457,New Stacy,GA,Yemen,47309,Cameron,Jones,2024-08-12T17:19:51,salesforce_accounts,2025-10-12T04:56:38.677936,3e48ea05-2393-49a7-b70b-2825dd81cdcd,3e48ea05-2393-49a7-b70b-2825dd81cdcd
Peters Ltd,Vendor,Education,42164130,Hot,334-161-6552x4914,http://www.may-stevens.com/,9474 Tyrone Mews Apt. 131,Meyerport,NJ,Bermuda,45592,Rowan,Smith,2022-02-07T15:32:30,salesforce_accounts,2025-10-12T04:56:38.677936,72e156b2-3b28-455d-b193-511eb857a565,72e156b2-3b28-455d-b193-511eb857a565
"Holt, Osborn and Holmes",Vendor,Healthcare,15109307,Hot,351-715-8095x8144,http://meyer.com/,3983 Davis Alley,Mckenziefort,ID,San Marino,71142,Devin,Anderson,2021-02-20T22:47:40,salesforce_accounts,2025-10-12T04:56:38.677936,93dc34c2-48b5-427a-b02f-1ee2e55bab3b,93dc34c2-48b5-427a-b02f-1ee2e55bab3b
Thompson and Sons,Partner,Retail,36376898,Cold,546.797.7257,https://www.allen.info/,2684 Huerta Plains,Gabrielport,MO,Netherlands Antilles,76911,Harper,Garcia,2024-10-08T12:53:05,salesforce_accounts,2025-10-12T04:56:38.677936,57cac84a-1e24-4850-8916-cc08474678f2,57cac84a-1e24-4850-8916-cc08474678f2
Harvey Group,Prospect,Retail,8278748,Warm,739.206.8638,https://freeman.net/,0313 Ross Villages,North Annside,CA,Bahamas,47172,Casey,Thompson,2021-01-07T18:48:42,salesforce_accounts,2025-10-12T04:56:38.677936,f10f1ed0-d6b3-45f9-a578-879f0ce8b441,f10f1ed0-d6b3-45f9-a578-879f0ce8b441
Thomas Group,Prospect,Technology,42154364,Warm,769.943.7441x32036,https://russell.com/,0116 Lyons Shoal,Anthonyside,CT,Ireland,71555,Avery,Martinez,2022-12-24T21:56:43,salesforce_accounts,2025-10-12T04:56:38.677936,94780273-148f-45e4-9a70-5bd28556bc4c,94780273-148f-45e4-9a70-5bd28556bc4c
"Brown, Peterson and Holloway",Prospect,Retail,2446830,Cold,001-618-214-5161,http://www.mills-marshall.net/,723 Hill Harbors,Harringtonborough,FL,Lithuania,72121,Cameron,Smith,2022-10-16T16:08:16,salesforce_accounts,2025-10-12T04:56:38.677936,50d3dbcd-2a68-42df-af5d-ad690be3e744,50d3dbcd-2a68-42df-af5d-ad690be3e744
Harrison PLC,Customer,Education,33497728,Hot,+1-693-176-6411x07877,https://www.lewis-smith.info/,12806 Taylor Villages,Jessicamouth,NM,Cameroon,93300,Avery,Miller,2022-10-22T20:02:26,salesforce_accounts,2025-10-12T04:56:38.677936,410e32dd-4f7e-4010-8212-f336f6ef1e25,410e32dd-4f7e-4010-8212-f336f6ef1e25
"Cantu, Glover and Fernandez",Prospect,Education,41293419,Hot,288-323-1800x99900,https://patterson.com/,813 Adam Ford,West Benjamin,NH,Togo,45924,Jordan,Rodriguez,2023-03-19T15:34:26,salesforce_accounts,2025-10-12T04:56:38.677936,cd38b0be-7310-4185-9502-873c77183c4d,cd38b0be-7310-4185-9502-873c77183c4d
Long-Patel,Customer,Finance,10457168,Warm,(925)257-8136,http://www.jackson.info/,42527 Brenda Drive,Jocelynberg,WY,Malawi,72986,Logan,Johnson,2022-02-10T16:39:39,salesforce_accounts,2025-10-12T04:56:38.677936,dfc858a9-a2e6-48cf-95fc-ec3683e9c55a,dfc858a9-a2e6-48cf-95fc-ec3683e9c55a
"Merritt, Jimenez and Brown",Partner,Education,38714493,Hot,+1-826-982-6761x5713,http://www.hogan.info/,4350 Logan Forge Apt. 960,Willieshire,KS,Estonia,50960,Devin,Jones,2023-02-27T21:42:38,salesforce_accounts,2025-10-12T04:56:38.677936,659f4c87-f038-402d-ad87-6d45bb31deaa,659f4c87-f038-402d-ad87-6d45bb31deaa
Mccann PLC,Customer,Education,33380340,Cold,245-462-3516x299,http://www.moreno.com/,320 Curtis Summit Apt. 615,Kathrynland,RI,Uzbekistan,54758,Jordan,Thomas,2020-10-16T06:39:12,salesforce_accounts,2025-10-12T04:56:38.677936,6b9ce2fe-7250-421d-9338-b08496997d00,6b9ce2fe-7250-421d-9338-b08496997d00
Smith-Hoffman,Partner,Technology,36659646,Cold,001-552-943-1129x903,http://decker.biz/,663 Cooper Mall Suite 730,Bryantfort,NJ,Rwanda,76727,Sam,Martin,2024-07-21T17:34:25,salesforce_accounts,2025-10-12T04:56:38.677936,d3ac4995-de2c-4ec3-8254-89a7109d6975,d3ac4995-de2c-4ec3-8254-89a7109d6975
Nguyen LLC,Prospect,Education,41978073,Warm,7423145686,https://www.navarro.net/,17514 Jody Forge Suite 584,Port Brandon,GA,Slovakia (Slovak Republic),46259,Jordan,Brown,2020-03-28T13:42:37,salesforce_accounts,2025-10-12T04:56:38.677936,c5122fb5-b490-4531-9642-6d413599cd54,c5122fb5-b490-4531-9642-6d413599cd54
Morris-Montgomery,Prospect,Finance,36283612,Cold,(090)186-5549x3490,https://long-smith.com/,37297 Miller Course Suite 245,Emilymouth,TN,Poland,86444,Jordan,Williams,2022-07-14T22:35:55,salesforce_accounts,2025-10-12T04:56:38.677936,e245b92e-48e1-4249-8e90-0b1d2e7b54d7,e245b92e-48e1-4249-8e90-0b1d2e7b54d7
"Jackson, Ponce and Perkins",Partner,Healthcare,11217207,Cold,+1-865-909-7076x604,https://www.cruz-johnson.biz/,9851 Green Estate,Timothymouth,NV,New Caledonia,22210,Logan,Moore,2022-05-07T08:29:51,salesforce_accounts,2025-10-12T04:56:38.677936,660749d2-0357-4520-b64b-8905e29d864f,660749d2-0357-4520-b64b-8905e29d864f
Buckley-Castillo,Vendor,Technology,16040627,Warm,275-516-3898,https://www.richards.com/,31040 Henry Locks Suite 953,Stephaniehaven,OK,Tajikistan,22082,Harper,Hernandez,2023-01-21T04:55:50,salesforce_accounts,2025-10-12T04:56:38.677936,46492b6f-e10d-4af4-82b9-01f1de470309,46492b6f-e10d-4af4-82b9-01f1de470309
"Cook, Roberts and Dyer",Partner,Healthcare,16669764,Cold,702.833.5521,http://www.smith.org/,1220 Phillip Fields,Alexanderland,ME,Tanzania,65746,Reese,Anderson,2025-02-20T11:46:07,salesforce_accounts,2025-10-12T04:56:38.677936,ccc8c62c-f9fc-41f0-b683-65bde54a07a3,ccc8c62c-f9fc-41f0-b683-65bde54a07a3
Wells PLC,Vendor,Technology,9884451,Cold,+1-261-234-8997x55342,https://wood-johnson.com/,20509 Julie Square,West Kimberlyport,NH,Tuvalu,51614,Reese,Martin,2022-03-27T15:14:05,salesforce_accounts,2025-10-12T04:56:38.677936,647fdaa9-07e4-4dd2-99ac-37c7e05b8127,647fdaa9-07e4-4dd2-99ac-37c7e05b8127
Sharp-Ramirez,Customer,Energy,4688891,Cold,001-564-850-2912,http://www.johnson-ortiz.com/,760 Miller Plains Suite 383,Brendaton,TX,Guam,72647,Riley,Thompson,2025-09-15T10:44:29,salesforce_accounts,2025-10-12T04:56:38.677936,43fe8cf1-e309-4a6b-a236-c7d193c2283a,43fe8cf1-e309-4a6b-a236-c7d193c2283a
Greer Ltd,Customer,Retail,9514653,Hot,710.397.1064x71258,https://www.mayer.net/,6344 Veronica Square Apt. 172,East Davidside,NM,Lao People's Democratic Republic,60383,Jordan,Brown,2022-01-21T23:15:37,salesforce_accounts,2025-10-12T04:56:38.677936,5ddd397d-aa6c-4104-ba9d-67deeff22dcd,5ddd397d-aa6c-4104-ba9d-67deeff22dcd
Lang Ltd,Customer,Energy,14564147,Warm,(118)911-2888x80599,https://wilcox-stevens.info/,4197 Johnson Fords Suite 167,Andersonhaven,CT,New Zealand,21047,Reese,Hernandez,2025-05-20T03:09:45,salesforce_accounts,2025-10-12T04:56:38.677936,5f5f8acf-96bf-4d87-b59e-b0c2ddb9e2be,5f5f8acf-96bf-4d87-b59e-b0c2ddb9e2be
Reid-Potter,Prospect,Education,21308635,Warm,856-282-6581x543,https://henderson.com/,879 Joshua Plains,Nelsonfort,TN,Burundi,5136,Taylor,Martin,2024-05-30T21:21:21,salesforce_accounts,2025-10-12T04:56:38.677936,9bb28a42-523f-4a0c-9a26-d0635d25255c,9bb28a42-523f-4a0c-9a26-d0635d25255c
Martinez Ltd,Customer,Healthcare,38549943,Warm,3121493883,http://www.jones.org/,16891 Jarvis Lakes Suite 991,Michelleton,NM,Antigua and Barbuda,88502,Riley,Garcia,2022-11-09T01:54:34,salesforce_accounts,2025-10-12T04:56:38.677936,3b508600-2eba-4bed-bc90-37c3e6197e73,3b508600-2eba-4bed-bc90-37c3e6197e73
Colon PLC,Vendor,Education,33384400,Hot,218.102.2138,https://www.gonzales.biz/,95157 Butler Harbor Suite 779,New Emilyhaven,NC,Austria,88111,Taylor,White,2024-03-21T04:47:18,salesforce_accounts,2025-10-12T04:56:38.677936,6b2d5c68-d5b5-4adb-8a63-2a7d5989de31,6b2d5c68-d5b5-4adb-8a63-2a7d5989de31
"Moore, Moore and Joseph",Customer,Retail,2863999,Hot,902.776.1965x33728,http://miller.com/,53010 Miller Pass Suite 717,Josephville,NE,Zimbabwe,23458,Elliot,Johnson,2022-01-04T11:47:35,salesforce_accounts,2025-10-12T04:56:38.677936,dfd8bd25-259b-4fd2-a494-18282137dc29,dfd8bd25-259b-4fd2-a494-18282137dc29
"Mccoy, Smith and Arnold",Partner,Technology,43163528,Warm,273-539-8676x389,https://www.bradley-payne.org/,72178 Monica Burgs Apt. 251,New Megan,DE,Isle of Man,95974,Taylor,Martin,2021-12-11T13:53:46,salesforce_accounts,2025-10-12T04:56:38.677936,d41bce5b-a006-4913-acbb-a125b790cddb,d41bce5b-a006-4913-acbb-a125b790cddb
Silva PLC,Partner,Retail,5290691,Hot,001-011-055-2813x9631,http://www.meyer.com/,644 Aaron Inlet Apt. 775,Morganville,NV,Bosnia and Herzegovina,88116,Jamie,Wilson,2023-11-20T19:57:48,salesforce_accounts,2025-10-12T04:56:38.677936,343a35a7-801d-4784-b645-f2bc6f1f50cd,343a35a7-801d-4784-b645-f2bc6f1f50cd
Rodriguez-Hoover,Prospect,Finance,28450196,Warm,5208867536,https://www.phillips.com/,4354 Seth Haven Apt. 425,Keithton,FL,Maldives,9174,Parker,Hernandez,2025-03-15T04:07:05,salesforce_accounts,2025-10-12T04:56:38.677936,077cdff3-34b2-47d9-bfc7-c0ea0aabeb20,077cdff3-34b2-47d9-bfc7-c0ea0aabeb20
"Webb, Hill and Odonnell",Partner,Retail,21503105,Hot,637.616.3427x29025,http://reed-howard.biz/,717 Mendoza Mews,Baxterton,MN,China,32687,Morgan,Smith,2025-03-15T08:36:22,salesforce_accounts,2025-10-12T04:56:38.677936,fb6d3e53-0793-4d5f-a8b6-fd2b9cd441fc,fb6d3e53-0793-4d5f-a8b6-fd2b9cd441fc
Roy Ltd,Vendor,Finance,10352415,Cold,(542)101-0438,http://www.taylor.com/,254 Saunders Crossing,Jasonstad,SD,Wallis and Futuna,15673,Logan,Johnson,2024-03-29T15:22:18,salesforce_accounts,2025-10-12T04:56:38.677936,fcfb8b42-7c70-4180-8a68-c4a64677cbd7,fcfb8b42-7c70-4180-8a68-c4a64677cbd7
Johnson Group,Customer,Retail,17566318,Cold,777.125.0315,https://www.shannon.com/,292 Danielle Wall Suite 639,New Jessicaport,DC,Uruguay,73074,Jamie,Moore,2022-12-13T19:15:05,salesforce_accounts,2025-10-12T04:56:38.677936,f115230d-40bf-4321-b649-462e12fdeaba,f115230d-40bf-4321-b649-462e12fdeaba
Roberts-Brown,Prospect,Finance,43779777,Warm,799-183-9435,http://www.rojas.com/,70710 Barajas Way Apt. 466,Lake Rebeccaberg,NY,Martinique,55781,Logan,Taylor,2023-07-02T01:27:20,salesforce_accounts,2025-10-12T04:56:38.677936,1dcc99fd-d476-4ba7-a0e5-8f0062d35436,1dcc99fd-d476-4ba7-a0e5-8f0062d35436
Nelson-Wade,Customer,Healthcare,48615625,Hot,(197)389-7695,https://proctor.com/,4314 Hartman Cliff,Crystaltown,NY,Pakistan,25093,Elliot,Thomas,2024-12-18T22:13:47,salesforce_accounts,2025-10-12T04:56:38.677936,506b3100-14a3-4454-9e38-2bb99f1f62de,506b3100-14a3-4454-9e38-2bb99f1f62de
Williams Ltd,Customer,Education,33821714,Hot,756-093-5042,https://www.jackson.com/,982 Norton Mission Suite 108,South Kristinmouth,WY,Mauritius,88537,Jordan,Brown,2024-02-28T08:00:42,salesforce_accounts,2025-10-12T04:56:38.677936,925e7f4a-d225-47a3-bac5-c1a8a8aa1c5c,925e7f4a-d225-47a3-bac5-c1a8a8aa1c5c
Chung Inc,Vendor,Education,11686361,Cold,620-070-0675,http://www.brown-winters.com/,35797 Davidson Groves Suite 691,Harrisonport,AL,Georgia,44962,Elliot,Moore,2022-04-24T20:40:43,salesforce_accounts,2025-10-12T04:56:38.677936,4f058606-06f2-412b-8970-9ab1e40957b8,4f058606-06f2-412b-8970-9ab1e40957b8
"Watkins, Smith and Hardin",Partner,Energy,26756629,Cold,431-561-1240x39073,https://hampton.biz/,2833 Camacho Square,West Sabrinahaven,MO,Qatar,43593,Taylor,Hernandez,2020-09-22T14:40:31,salesforce_accounts,2025-10-12T04:56:38.677936,9fdfb7e8-bfef-4be2-80cf-f0afe65019bc,9fdfb7e8-bfef-4be2-80cf-f0afe65019bc
Erickson-Hardy,Partner,Education,32871979,Hot,(890)938-4994x748,https://alvarado-mccann.org/,8551 James Canyon,Lake Karenton,MA,Andorra,7934,Rowan,Williams,2025-05-27T16:59:55,salesforce_accounts,2025-10-12T04:56:38.677936,162af585-dadf-447a-b068-cf644ab4144d,162af585-dadf-447a-b068-cf644ab4144d
Hayden and Sons,Customer,Technology,38498210,Hot,+1-365-989-9483,https://daniels.info/,953 Brittany Walk Suite 187,Elizabethtown,OH,Ukraine,43754,Logan,Williams,2022-06-14T08:54:56,salesforce_accounts,2025-10-12T04:56:38.677936,9944dd3d-aee1-4e36-95e7-cc37ddeb5981,9944dd3d-aee1-4e36-95e7-cc37ddeb5981
Murphy PLC,Prospect,Retail,28675911,Hot,(964)337-8823x97362,https://wilson.com/,903 Ann Centers Suite 436,Benitezport,NC,British Indian Ocean Territory (Chagos Archipelago),8101,Logan,Martinez,2020-08-09T12:15:56,salesforce_accounts,2025-10-12T04:56:38.677936,58400922-6f5b-4052-9e42-6085a7f5c05b,58400922-6f5b-4052-9e42-6085a7f5c05b
Watson Group,Partner,Energy,34314548,Hot,864-251-5932,http://www.herrera.com/,40188 Debra Track,South Matthew,OK,Seychelles,45093,Reese,White,2024-10-05T02:16:02,salesforce_accounts,2025-10-12T04:56:38.677936,1c8b2172-dfb6-4f3c-a61d-9bf9db3c1a14,1c8b2172-dfb6-4f3c-a61d-9bf9db3c1a14
Jackson-Zuniga,Prospect,Technology,6586368,Hot,950-934-0656x4009,https://www.vance.net/,1988 Jonathan Fall,Anthonyfurt,NM,Sao Tome and Principe,14111,Sam,Jones,2021-08-13T12:22:35,salesforce_accounts,2025-10-12T04:56:38.677936,172691c5-1f74-4c8e-a84e-d32029a8b3dd,172691c5-1f74-4c8e-a84e-d32029a8b3dd
Jones Inc,Partner,Technology,28707970,Hot,(093)875-3080,http://www.brown-lowery.biz/,853 Bowen Shore,Jacquelinebury,HI,Tuvalu,91248,Quinn,Williams,2020-01-23T12:10:59,salesforce_accounts,2025-10-12T04:56:38.677936,d42e47de-605b-49f7-99a5-b9e8dc693619,d42e47de-605b-49f7-99a5-b9e8dc693619
Vasquez-Lambert,Prospect,Finance,45061177,Warm,(740)389-6746x57779,https://www.owens.com/,53811 Rebecca Station,East Anthony,KS,Brazil,27495,Avery,Jones,2024-10-01T21:49:07,salesforce_accounts,2025-10-12T04:56:38.677936,412fdaf4-9b55-4bc8-879d-73eb0055ec48,412fdaf4-9b55-4bc8-879d-73eb0055ec48
Bender-Allen,Vendor,Education,12450831,Hot,001-772-725-8285,https://lowery.org/,787 Jim Stravenue Suite 169,North Sarah,ME,Congo,22627,Sam,Rodriguez,2022-10-03T06:49:08,salesforce_accounts,2025-10-12T04:56:38.677936,07b2059f-a9bf-4eee-875c-7b3d670f6c9f,07b2059f-a9bf-4eee-875c-7b3d670f6c9f
"Rosario, Perry and Mayo",Prospect,Healthcare,35312381,Cold,+1-034-846-2733x91280,https://www.harris-smith.com/,63812 King Shoal Suite 161,North Codyview,AR,Malaysia,79764,Jamie,White,2020-03-18T09:53:09,salesforce_accounts,2025-10-12T04:56:38.677936,a04e36bb-9b72-475f-aa4f-d3c21e6d2705,a04e36bb-9b72-475f-aa4f-d3c21e6d2705
"Green, Jones and Castaneda",Vendor,Healthcare,34035574,Warm,(867)250-9458x4773,https://mcdonald.net/,5162 Sergio Grove Suite 121,Meyerview,ND,Venezuela,11160,Quinn,Thompson,2020-11-17T14:59:56,salesforce_accounts,2025-10-12T04:56:38.677936,d359dd7f-5de4-4a00-8cd2-c1446e18bbf6,d359dd7f-5de4-4a00-8cd2-c1446e18bbf6
Craig-Ryan,Vendor,Energy,32886345,Hot,+1-577-562-0532x0504,http://turner.org/,1735 Matthew Bridge,North Mitchellborough,MD,Lithuania,35312,Parker,Jackson,2020-09-05T03:04:55,salesforce_accounts,2025-10-12T04:56:38.677936,3fea8003-b0a6-4214-8718-26f26f81c800,3fea8003-b0a6-4214-8718-26f26f81c800
"Cruz, Carey and Gardner",Prospect,Healthcare,14107851,Cold,001-684-643-3945x204,https://www.johnson.com/,9911 Nicole Glens,New Mark,ME,Marshall Islands,41757,Casey,Martinez,2025-08-25T01:56:46,salesforce_accounts,2025-10-12T04:56:38.677936,44ba8474-0e24-42d8-8086-9daef94888d4,44ba8474-0e24-42d8-8086-9daef94888d4
Mitchell PLC,Vendor,Retail,11860589,Warm,883-940-0566x503,https://shaw-phillips.com/,7547 Geoffrey Rapids Suite 323,North Christy,OR,China,60054,Cameron,Taylor,2021-06-06T22:44:49,salesforce_accounts,2025-10-12T04:56:38.677936,aa4b183e-f978-4ee8-84e7-79bc31845b69,aa4b183e-f978-4ee8-84e7-79bc31845b69
Gregory Ltd,Customer,Healthcare,39592598,Cold,(017)639-2527x70706,http://www.rivera.com/,368 Powers Harbors,Lake Mackenzie,HI,Venezuela,51905,Skyler,White,2023-10-27T13:49:27,salesforce_accounts,2025-10-12T04:56:38.677936,0b1e9d2b-7349-4988-a931-3c776b22681d,0b1e9d2b-7349-4988-a931-3c776b22681d
"Gordon, Munoz and Campbell",Vendor,Energy,29624900,Hot,(188)968-6365x1723,http://www.king-holder.org/,3419 Denise Summit Apt. 437,North Markfurt,NC,Thailand,55753,Sam,Martin,2023-10-05T00:23:57,salesforce_accounts,2025-10-12T04:56:38.677936,a83f4ae6-ddbe-460a-bf5a-7ef7d6dd7ae9,a83f4ae6-ddbe-460a-bf5a-7ef7d6dd7ae9
"Moss, Delgado and Miller",Partner,Healthcare,46177380,Hot,100.826.8359,http://www.lane.biz/,11674 Adam Motorway Suite 241,Wyattview,MT,Fiji,62830,Taylor,Wilson,2025-09-22T05:00:57,salesforce_accounts,2025-10-12T04:56:38.677936,26ed2c59-b36f-4202-95e1-eb9cf39cd8bb,26ed2c59-b36f-4202-95e1-eb9cf39cd8bb
"Hart, Jordan and Reynolds",Prospect,Retail,28987589,Hot,(531)461-3094,http://mason.com/,0098 Tonya Tunnel Suite 336,New Nancystad,NC,Latvia,9034,Alex,Hernandez,2024-06-13T18:07:44,salesforce_accounts,2025-10-12T04:56:38.677936,9412e417-d613-4748-a8c8-8b62eb8e97f2,9412e417-d613-4748-a8c8-8b62eb8e97f2
Best-Warner,Customer,Finance,34442508,Hot,673.316.3403x9778,https://www.le-hickman.com/,109 Hays Unions Apt. 434,New Brittanystad,LA,Mauritania,2136,Skyler,Martin,2023-10-12T05:57:18,salesforce_accounts,2025-10-12T04:56:38.677936,3c16c333-0851-4b5c-bdb4-33c238ff49f8,3c16c333-0851-4b5c-bdb4-33c238ff49f8
Acosta LLC,Prospect,Energy,16148245,Warm,0338928024,http://bowman.net/,95958 Mills River,South Leeport,NC,Chad,22343,Elliot,White,2021-10-19T23:31:34,salesforce_accounts,2025-10-12T04:56:38.677936,96ab8721-4d68-4b3d-9727-f0c2b03bcf27,96ab8721-4d68-4b3d-9727-f0c2b03bcf27
